Family	Model	Degrees of freedom	LnL	# sites (BEB pp > 0.95)	# sites (BEB pp > 0.99)	dN	dS	dN/dS	Num. sites (BEB pp > 0.95)	Num. sites (BEB pp > 0.99)	index	Likelihood_ratio	Significativo
F79292_TASI_G1	M2	8.0	-561.88247	0	0	0.0	0.0	0.5359	0.0	0.0	16464	3.999999989900971e-06	-
F79292_TASI_G1	M1	6.0	-561.882472	0	0	0.0	0.0	0.5359			16464	3.999999989900971e-06	-
F8315_TASI_G1	M1	5.0	-75.424929	0	0	0.0	0.0	0.3477			17086	0.00011400000002481647	-
F8315_TASI_G1	M2	7.0	-75.424872	0	0	0.0	0.0	0.0	0.0	0.0	17086	0.00011400000002481647	-
F31918_MLIG_G1	M2	8.0	-1319.5392160000001	0	0	0.0	0.0	0.7685	0.0	0.0	8597	0.26735399999961373	-
F31918_MLIG_G1	M1	6.0	-1319.672893	0	0	0.0	0.0	0.3088			8597	0.26735399999961373	-
F23474_MLIG_G1	M2	8.0	-874.963684	0	0	0.0	0.0	0.3769	0.0	0.0	7084	1.9999999949504854e-06	-
F23474_MLIG_G1	M1	6.0	-874.9636849999999	0	0	0.0	0.0	0.3769			7084	1.9999999949504854e-06	-
F53749_MLIG_G1	M2	8.0	-1140.362241	0	0	0.0058	0.0259	0.2219	0.0	0.0	12225	1.0000000202126103e-05	-
F53749_MLIG_G1	M1	6.0	-1140.3622460000001	0	0	0.0058	0.0259	0.2219			12225	1.0000000202126103e-05	-
F35309_MLIG_G1	M1	10.0	-660.514665	0	0	0.0	0.0	0.6493			9159	0.63388400000008	-
F35309_MLIG_G1	M2	12.0	-660.197723	0	0	0.0	0.0	0.0198	0.0	0.0	9159	0.63388400000008	-
F27079_MLIG_G1	M1	7.0	-1054.5684880000001	0	0	1.4177	1.8216	0.7783			7771	21.504699999999957	***
F27079_MLIG_G1	M2	9.0	-1043.8161380000001	0	0	17.826	0.3758	47.4361	51.0	36.0	7771	21.504699999999957	***
F58539_MLIG_G1	M2	7.0	-1678.607664	0	0	0.0038	0.0436	0.0861	0.0	0.0	13029	5.000000010113581e-05	-
F58539_MLIG_G1	M1	5.0	-1678.6076890000002	0	0	0.0035	0.0401	0.0861			13029	5.000000010113581e-05	-
F36043_SMED_G1	M2	7.0	-388.566305	0	0	0.0	0.0	999.0	0.0	0.0	9284	1.5458039999999755	-
F36043_SMED_G1	M1	5.0	-389.339207	0	0	0.0071	0.0071	1.0			9284	1.5458039999999755	-
F109937_SMED_G1	M1	5.0	-270.918569	0	0	2.6432	52.3292	0.0505			1642	5.999999984851456e-06	-
F109937_SMED_G1	M2	7.0	-270.918566	0	0	2.6427	52.3305	0.0505	0.0	0.0	1642	5.999999984851456e-06	-
F19378_MLIG_G1	M1	10.0	-635.084758	0	0	0.0	0.0	0.1011			6398	8.599999978287087e-05	-
F19378_MLIG_G1	M2	12.0	-635.0847150000001	0	0	0.0	0.0	0.1011	0.0	0.0	6398	8.599999978287087e-05	-
F121871_SCUR_G9	M2	7.0	-3509.4054170000004	0	0	0.0	0.0	0.0785	0.0	0.0	3719	3.999998625658918e-06	-
F121871_SCUR_G9	M1	5.0	-3509.4054189999997	0	0	0.001	0.0133	0.0785			3719	3.999998625658918e-06	-
F121974_TREG_G1	M2	7.0	-7151.188368000001	0	0	0.0	0.0	7.8404	5.0	1.0	3749	88.20372999999745	***
F121974_TREG_G1	M1	5.0	-7195.290233	0	0	0.0016	0.0072	0.2264			3749	88.20372999999745	***
F85516_SMED_G1	M2	7.0	-853.8943199999999	0	0	0.0	0.0	1.0070000000000001	0.0	0.0	17494	7.200000027296483e-05	-
F85516_SMED_G1	M1	5.0	-853.894356	0	0	0.0064	0.0064	1.0			17494	7.200000027296483e-05	-
F71368_SHAE_G1	M1	5.0	-2035.776729	0	0	2.2658	102.9831	0.022000000000000002			15164	-0.3626800000001822	-
F71368_SHAE_G1	M2	7.0	-2035.958069	0	0	3.6089	3.3844	1.0663	0.0	0.0	15164	-0.3626800000001822	-
F29026_MLIG_G1	M1	6.0	-2514.790969	0	0	0.0	0.0	0.1358			8119	2.0000006770715117e-06	-
F29026_MLIG_G1	M2	8.0	-2514.790968	0	0	0.0	0.0	0.1358	0.0	0.0	8119	2.0000006770715117e-06	-
F37562_MLIG_G1	M1	5.0	-1762.478216	0	0	0.9828	1.2704	0.7736			9521	22.08906399999978	***
F37562_MLIG_G1	M2	7.0	-1751.433684	0	0	24.2511	0.1957	123.9341	112.0	57.0	9521	22.08906399999978	***
F103102_MLIG_G1	M1	5.0	-737.919499	0	0	2.8925	2.8925	1.0			518	2.120567999999821	-
F103102_MLIG_G1	M2	7.0	-736.8592150000001	0	0	16.445	17.7397	0.927	0.0	0.0	518	2.120567999999821	-
F33439_MLIG_G1	M1	5.0	-2964.337176	0	0	0.0017	0.032	0.0532			8862	4.343155999999908	-
F33439_MLIG_G1	M2	7.0	-2962.165598	0	0	0.0049	0.0343	0.1424	0.0	0.0	8862	4.343155999999908	-
F104741_MLIG_G1	M1	5.0	-195.18666000000002	0	0	0.013999999999999999	0.0216	0.6474			776	0.0	-
F104741_MLIG_G1	M2	7.0	-195.18666000000002	0	0	0.0172	0.0266	0.6474	0.0	0.0	776	0.0	-
F18992_SMED_G1	M1	5.0	-439.74932	0	0	0.0	0.0099	0.0			6344	4.799999999249849e-05	-
F18992_SMED_G1	M2	7.0	-439.749296	0	0	0.0	0.0099	0.0	0.0	0.0	6344	4.799999999249849e-05	-
F94384_MLIG_G1	M1	7.0	-1052.850607	0	0	0.0	0.0	0.1627			19003	0.0	-
F94384_MLIG_G1	M2	9.0	-1052.850607	0	0	0.0	0.0	0.1627	0.0	0.0	19003	0.0	-
F87818_SJAP_G1	M2	7.0	-580.001939	0	0	0.0	0.0	0.7752	0.0	0.0	17883	-0.00015200000007098424	-
F87818_SJAP_G1	M1	5.0	-580.001863	0	0	0.0	0.0	0.0494			17883	-0.00015200000007098424	-
F51725_SHAE_G1	M1	10.0	-361.258514	0	0	0.0	0.0	0.4389			11871	1.9999999949504854e-06	-
F51725_SHAE_G1	M2	12.0	-361.258513	0	0	0.0	0.0	0.4389	0.0	0.0	11871	1.9999999949504854e-06	-
F19661_MLIG_G1	M2	8.0	-502.479064	0	0	0.0	0.0	16.7968	2.0	2.0	6448	32.75519199999985	***
F19661_MLIG_G1	M1	6.0	-518.8566599999999	0	0	0.0	0.0	0.1333			6448	32.75519199999985	***
F59624_MLIG_G1	M1	6.0	-1404.65324	0	0	0.0003	0.0144	0.0214			13187	1.9009040000000823	-
F59624_MLIG_G1	M2	8.0	-1403.702788	0	0	0.0039	0.0249	0.158	0.0	0.0	13187	1.9009040000000823	-
F11847_MLIG_G1	M1	6.0	-1434.470004	0	0	0.0	0.0063	0.0			3110	0.00013800000033370452	-
F11847_MLIG_G1	M2	8.0	-1434.4699349999999	0	0	0.0	0.0063	0.0	0.0	0.0	3110	0.00013800000033370452	-
F2485_MLIG_G1	M2	8.0	-5278.196603	0	0	0.0	0.0	5.1693	148.0	1.0	7311	61.17706799999905	***
F2485_MLIG_G1	M1	6.0	-5308.785137	0	0	0.4933	0.6766	0.7291			7311	61.17706799999905	***
F27672_TREG_G1	M2	7.0	-1675.318749	0	0	0.0	0.0	0.9986	0.0	0.0	7884	-6.399999983841553e-05	-
F27672_TREG_G1	M1	5.0	-1675.318717	0	0	0.0	0.0	0.0			7884	-6.399999983841553e-05	-
F65372_MLIG_G1	M2	7.0	-2050.797489	0	0	0.0	0.0	419.0115	0.0	0.0	14159	0.000210000000151922	-
F65372_MLIG_G1	M1	5.0	-2050.797594	0	0	0.0	0.0	1.0			14159	0.000210000000151922	-
F59708_MLIG_G1	M2	8.0	-684.126286	0	0	0.0	0.0058	0.0	0.0	0.0	13208	0.00010999999994965037	-
F59708_MLIG_G1	M1	6.0	-684.126341	0	0	0.0	0.0058	0.0			13208	0.00010999999994965037	-
F39125_CSIN_G1	M1	5.0	-125.949922	0	0	6.5646	11.9419	0.5497			9810	0.0012460000000089622	-
F39125_CSIN_G1	M2	7.0	-125.949299	0	0	5.5148	5.5145	1.0001	0.0	0.0	9810	0.0012460000000089622	-
F129814_SMED_G1	M1	5.0	-562.32524	0	0	0.0	0.0007	0.0			5052	-0.0005739999999150314	-
F129814_SMED_G1	M2	7.0	-562.325527	0	0	0.0	0.0	0.0001	0.0	0.0	5052	-0.0005739999999150314	-
F64552_MLIG_G1	M1	14.0	-331.62134199999997	0	0	0.0	0.0	0.2247			14009	0.0	-
