Family	Model	Degrees of freedom	LnL	# sites (BEB pp > 0.95)	# sites (BEB pp > 0.99)	dN	dS	dN/dS	Num. sites (BEB pp > 0.95)	Num. sites (BEB pp > 0.99)
F79292_TASI_G1	M2	8.0	-561.88247	0	0	0.0	0.0	0.5359	0.0	0.0
F79292_TASI_G1	M1	6.0	-561.882472	0	0	0.0	0.0	0.5359		
F8315_TASI_G1	M1	5.0	-75.424929	0	0	0.0	0.0	0.3477		
F8315_TASI_G1	M2	7.0	-75.424872	0	0	0.0	0.0	0.0	0.0	0.0
F31918_MLIG_G1	M2	8.0	-1319.539216	0	0	0.0	0.0	0.7685	0.0	0.0
F31918_MLIG_G1	M1	6.0	-1319.672893	0	0	0.0	0.0	0.3088		
F23474_MLIG_G1	M2	8.0	-874.963684	0	0	0.0	0.0	0.3769	0.0	0.0
F23474_MLIG_G1	M1	6.0	-874.963685	0	0	0.0	0.0	0.3769		
F53749_MLIG_G1	M2	8.0	-1140.362241	0	0	0.0058	0.0259	0.2219	0.0	0.0
F53749_MLIG_G1	M1	6.0	-1140.362246	0	0	0.0058	0.0259	0.2219		
F35309_MLIG_G1	M1	10.0	-660.514665	0	0	0.0	0.0	0.6493		
F35309_MLIG_G1	M2	12.0	-660.197723	0	0	0.0	0.0	0.0198	0.0	0.0
F27079_MLIG_G1	M1	7.0	-1054.568488	0	0	1.4177	1.8216	0.7783		
F27079_MLIG_G1	M2	9.0	-1043.816138	0	0	17.826	0.3758	47.4361	51.0	36.0
F58539_MLIG_G1	M2	7.0	-1678.607664	0	0	0.0038	0.0436	0.0861	0.0	0.0
F58539_MLIG_G1	M1	5.0	-1678.607689	0	0	0.0035	0.0401	0.0861		
F36043_SMED_G1	M2	7.0	-388.566305	0	0	0.0	0.0	999.0	0.0	0.0
F36043_SMED_G1	M1	5.0	-389.339207	0	0	0.0071	0.0071	1.0		
F109937_SMED_G1	M1	5.0	-270.918569	0	0	2.6432	52.3292	0.0505		
F109937_SMED_G1	M2	7.0	-270.918566	0	0	2.6427	52.3305	0.0505	0.0	0.0
F19378_MLIG_G1	M1	10.0	-635.084758	0	0	0.0	0.0	0.1011		
F19378_MLIG_G1	M2	12.0	-635.084715	0	0	0.0	0.0	0.1011	0.0	0.0
F121871_SCUR_G9	M2	7.0	-3509.405417	0	0	0.0	0.0	0.0785	0.0	0.0
F121871_SCUR_G9	M1	5.0	-3509.405419	0	0	0.001	0.0133	0.0785		
