monophyletic_group_code	Genes	Homolog group	Multiple sequence alignment	Phylogenetic tree	Species
F33_CLN_G1	csin104442, csin111013	10238_cln.10238.faa	10238_cln.10238.faa.msa	10238_cln.10238.faa.msa.tree.	C. sinensis
F62_CLN_G1	csin111800, csin107628, csin112559, csin104248, csin105561	1062_cln.1062.faa	1062_cln.1062.faa.msa	1062_cln.1062.faa.msa.tree.	C. sinensis
F82_CLN_G1	csin109340, csin112280, csin108000, csin107009, csin112225	1099_cln.1099.faa	1099_cln.1099.faa.msa	1099_cln.1099.faa.msa.tree.	C. sinensis
F124_CLN_G1	csin112045, csin108631	11357_cln.11357.faa	11357_cln.11357.faa.msa	11357_cln.11357.faa.msa.tree.	C. sinensis
F199_CLN_G1	csin103192, csin103191	11845_cln.11845.faa	11845_cln.11845.faa.msa	11845_cln.11845.faa.msa.tree.	C. sinensis
F211_CLN_G1	csin101571, csin101572	1198_cln.1198.faa	1198_cln.1198.faa.msa	1198_cln.1198.faa.msa.tree.	C. sinensis
F244_CLN_G1	csin105470, csin107402, csin106489	1229_cln.1229.faa	1229_cln.1229.faa.msa	1229_cln.1229.faa.msa.contree.tree.	C. sinensis
F325_CLN_G1	csin111903, csin100808	1278_cln.1278.faa	1278_cln.1278.faa.msa	1278_cln.1278.faa.msa.tree.	C. sinensis
F345_CLN_G1	csin113055, csin105433	1284_cln.1284.faa	1284_cln.1284.faa.msa	1284_cln.1284.faa.msa.tree.	C. sinensis
F398_CLN_G1	csin105639, csin105640	1330_cln.1330.faa	1330_cln.1330.faa.msa	1330_cln.1330.faa.msa.tree.	C. sinensis
F404_CLN_G1	csin101358, csin103484	1331_cln.1331.faa	1331_cln.1331.faa.msa	1331_cln.1331.faa.msa.tree.	C. sinensis
F450_CLN_G1	csin109445, csin112392, csin109448, csin109449	1349_cln.1349.faa	1349_cln.1349.faa.msa	1349_cln.1349.faa.msa.tree.	C. sinensis
F548_CLN_G1	csin104300, csin106032	138_cln.138.faa	138_cln.138.faa.msa	138_cln.138.faa.msa.tree.	C. sinensis
F553_CLN_G1	csin109049, csin112468, csin110968, csin106443	1381_cln.1381.faa	1381_cln.1381.faa.msa	1381_cln.1381.faa.msa.tree.	C. sinensis
F835_CLN_G1	csin103100, csin107514	1464_cln.1464.faa	1464_cln.1464.faa.msa	1464_cln.1464.faa.msa.tree.	C. sinensis
F854_CLN_G1	csin113347, csin111599, csin102763	1470_cln.1470.faa	1470_cln.1470.faa.msa	1470_cln.1470.faa.msa.tree.	C. sinensis
F991_CLN_G1	csin104235, csin113547	1517_cln.1517.faa	1517_cln.1517.faa.msa	1517_cln.1517.faa.msa.contree.tree.	C. sinensis
F1855_CLN_G1	csin111085, csin103768, csin104966	160_cln.160.faa	160_cln.160.faa.msa	160_cln.160.faa.msa.contree.tree.	C. sinensis
F1855_CLN_G2	csin107551, csin104084, csin102301, csin105321, csin105320, csin109342	160_cln.160.faa	160_cln.160.faa.msa	160_cln.160.faa.msa.contree.tree.	C. sinensis
F1855_CLN_G3	csin104398, csin100670, csin104345, csin101887, csin100389, csin103644, csin109045, csin102541, csin103615, csin102340, csin101217, csin101219, csin101764, csin103825, csin106263, csin104653, csin107191, csin104152, csin104909, csin103833, csin108054, csin104051, csin109037, csin109922, csin102321, csin108610, csin101153, csin102224, csin103981, csin103127, csin105089, csin101622	160_cln.160.faa	160_cln.160.faa.msa	160_cln.160.faa.msa.contree.tree.	C. sinensis
F1855_CLN_G4	csin104515, csin112623	160_cln.160.faa	160_cln.160.faa.msa	160_cln.160.faa.msa.contree.tree.	C. sinensis
F5592_CLN_G1	csin104859, csin112619, csin107317, csin104134, csin100774	1670_cln.1670.faa	1670_cln.1670.faa.msa	1670_cln.1670.faa.msa.contree.tree.	C. sinensis
F12360_CLN_G1	csin102409, csin105054	1997_cln.1997.faa	1997_cln.1997.faa.msa	1997_cln.1997.faa.msa.tree.	C. sinensis
