EmuJ_000279100.1	ff8e11e9b89f627964216a943a1559bf	146	Pfam	PF00125	Core histone H2A/H2B/H3/H4	36	121	1.0E-21	T	15-04-2024	IPR007125	Histone H2A/H2B/H3
EmuJ_000279100.1	ff8e11e9b89f627964216a943a1559bf	146	Gene3D	G3DSA:1.10.20.10	Histone, subunit A	22	146	2.3E-62	T	15-04-2024	IPR009072	Histone-fold
EmuJ_000279100.1	ff8e11e9b89f627964216a943a1559bf	146	PANTHER	PTHR23428:SF266	HISTONE H2B	23	146	5.1E-60	T	15-04-2024	-	-
EmuJ_000279100.1	ff8e11e9b89f627964216a943a1559bf	146	PRINTS	PR00621	Histone H2B signature	99	116	4.9E-52	T	15-04-2024	IPR000558	Histone H2B
EmuJ_000279100.1	ff8e11e9b89f627964216a943a1559bf	146	PRINTS	PR00621	Histone H2B signature	116	129	4.9E-52	T	15-04-2024	IPR000558	Histone H2B
EmuJ_000279100.1	ff8e11e9b89f627964216a943a1559bf	146	PRINTS	PR00621	Histone H2B signature	129	142	4.9E-52	T	15-04-2024	IPR000558	Histone H2B
EmuJ_000279100.1	ff8e11e9b89f627964216a943a1559bf	146	PRINTS	PR00621	Histone H2B signature	58	76	4.9E-52	T	15-04-2024	IPR000558	Histone H2B
EmuJ_000279100.1	ff8e11e9b89f627964216a943a1559bf	146	PRINTS	PR00621	Histone H2B signature	77	97	4.9E-52	T	15-04-2024	IPR000558	Histone H2B
EmuJ_000279100.1	ff8e11e9b89f627964216a943a1559bf	146	SUPERFAMILY	SSF47113	Histone-fold	33	146	2.26E-54	T	15-04-2024	IPR009072	Histone-fold
EmuJ_000279100.1	ff8e11e9b89f627964216a943a1559bf	146	SMART	SM00427	h2b3	48	144	2.3E-72	T	15-04-2024	IPR000558	Histone H2B
EmuJ_000279100.1	ff8e11e9b89f627964216a943a1559bf	146	PANTHER	PTHR23428	HISTONE H2B	23	146	5.1E-60	T	15-04-2024	IPR000558	Histone H2B
